2017-12-27 21:57:50.769086: softmax classifer
2017-12-27 21:57:50.769170: Learning rates LR: 50.000000 
2017-12-27 22:13:40.445592: Iter: 18200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1175438.978548, avg_acc: 72.24%
2017-12-27 22:13:48.517393: Iter: 18400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1163531.666133, avg_acc: 72.38%
2017-12-27 22:13:56.290740: Iter: 18600 [1], loss: 644997.000000, acc: 0.00%, avg_loss: 1156893.302386, avg_acc: 72.47%
2017-12-27 22:14:04.932844: Iter: 18800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1147120.592059, avg_acc: 72.40%
2017-12-27 22:14:14.228431: Iter: 19000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1145584.900857, avg_acc: 72.36%
2017-12-27 22:14:22.090822: Iter: 19200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1140797.342917, avg_acc: 72.49%
2017-12-27 22:14:30.190241: Iter: 19400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1136965.693682, avg_acc: 72.50%
2017-12-27 22:14:38.050502: Iter: 19600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1132364.260493, avg_acc: 72.62%
2017-12-27 22:14:45.888384: Iter: 19800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1128112.561410, avg_acc: 72.69%
2017-12-27 22:14:53.667660: Iter: 20000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1126025.047891, avg_acc: 72.66%
2017-12-27 22:15:01.405182: Iter: 20200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1123959.274192, avg_acc: 72.68%
2017-12-27 22:15:09.281919: Iter: 20400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1117892.932872, avg_acc: 72.79%
2017-12-27 22:15:17.009035: Iter: 20600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1115880.867951, avg_acc: 72.86%
2017-12-27 22:15:24.824967: Iter: 20800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1108355.895099, avg_acc: 72.89%
2017-12-27 22:15:32.637058: Iter: 21000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1110139.656625, avg_acc: 72.82%
2017-12-27 22:15:40.427767: Iter: 21200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1103719.695992, avg_acc: 72.89%
2017-12-27 22:15:48.130997: Iter: 21400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1105291.655572, avg_acc: 72.86%
2017-12-27 22:15:55.827652: Iter: 21600 [1], loss: 14477.000000, acc: 0.00%, avg_loss: 1101748.679648, avg_acc: 72.85%
2017-12-27 22:16:03.520144: Iter: 21800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1100219.045599, avg_acc: 72.87%
2017-12-27 22:16:11.211515: Iter: 22000 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1102526.196363, avg_acc: 72.92%
2017-12-27 22:16:18.904150: Iter: 22200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1099884.092659, avg_acc: 72.98%
2017-12-27 22:16:26.605780: Iter: 22400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1097745.752825, avg_acc: 72.94%
2017-12-27 22:16:34.319383: Iter: 22600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1095403.235531, avg_acc: 73.00%
2017-12-27 22:16:42.015123: Iter: 22800 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1092868.645891, avg_acc: 72.97%
2017-12-27 22:16:49.804551: Iter: 23000 [1], loss: 2491248.000000, acc: 0.00%, avg_loss: 1086035.588443, avg_acc: 73.07%
2017-12-27 22:16:57.517882: Iter: 23200 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1077818.831752, avg_acc: 73.18%
2017-12-27 22:17:05.253387: Iter: 23400 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1076473.545735, avg_acc: 73.18%
2017-12-27 22:17:13.005992: Iter: 23600 [1], loss: 0.000000, acc: 1.00%, avg_loss: 1077319.385054, avg_acc: 73.11%
2017-12-27 22:17:20.747065: Iter: 23800 [1], loss: 742759.500000, acc: 0.00%, avg_loss: 1081270.127913, avg_acc: 73.08%
2017-12-27 22:17:28.487173: Iter: 24000 [1], loss: 5750738.000000, acc: 0.00%, avg_loss: 1081692.522115, avg_acc: 73.07%
2017-12-27 22:17:28.487595: 
Epoch 1: avg_Loss: 1081782.670670472551, avg_Acc: 73.072756063005
2017-12-27 22:17:28.487628: Learning rates changed LR: 0.000100 
2017-12-27 22:17:36.936965: Iter: 24200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 840532.091250, avg_acc: 74.50%
2017-12-27 22:17:44.639660: Iter: 24400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 821231.945625, avg_acc: 75.00%
2017-12-27 22:17:52.366954: Iter: 24600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 910912.101250, avg_acc: 73.33%
2017-12-27 22:18:00.183443: Iter: 24800 [2], loss: 0.000000, acc: 1.00%, avg_loss: 879270.733750, avg_acc: 74.62%
2017-12-27 22:18:07.913008: Iter: 25000 [2], loss: 0.000000, acc: 1.00%, avg_loss: 902381.639750, avg_acc: 74.50%
2017-12-27 22:18:15.627272: Iter: 25200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 895357.386042, avg_acc: 74.83%
2017-12-27 22:18:23.344974: Iter: 25400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 875930.240536, avg_acc: 75.29%
2017-12-27 22:18:31.053944: Iter: 25600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 917698.930937, avg_acc: 74.69%
2017-12-27 22:18:39.577236: Iter: 25800 [2], loss: 5300252.500000, acc: 0.00%, avg_loss: 910787.386528, avg_acc: 75.06%
2017-12-27 22:18:48.511317: Iter: 26000 [2], loss: 0.000000, acc: 1.00%, avg_loss: 928274.834000, avg_acc: 74.75%
2017-12-27 22:18:57.154983: Iter: 26200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 908417.867500, avg_acc: 75.23%
2017-12-27 22:19:09.039857: Iter: 26400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 893215.597656, avg_acc: 75.12%
2017-12-27 22:19:20.725232: Iter: 26600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 904079.808029, avg_acc: 75.35%
2017-12-27 22:19:31.404274: Iter: 26800 [2], loss: 0.000000, acc: 1.00%, avg_loss: 903287.052098, avg_acc: 75.61%
2017-12-27 22:19:43.184168: Iter: 27000 [2], loss: 0.000000, acc: 1.00%, avg_loss: 918346.064875, avg_acc: 75.33%
2017-12-27 22:19:54.764410: Iter: 27200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 912277.416602, avg_acc: 75.34%
2017-12-27 22:20:06.636424: Iter: 27400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 920681.422390, avg_acc: 75.41%
2017-12-27 22:20:17.626472: Iter: 27600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 915125.399132, avg_acc: 75.56%
2017-12-27 22:20:29.072412: Iter: 27800 [2], loss: 0.000000, acc: 1.00%, avg_loss: 922704.889803, avg_acc: 75.45%
2017-12-27 22:20:40.520638: Iter: 28000 [2], loss: 4819836.000000, acc: 0.00%, avg_loss: 931400.096875, avg_acc: 74.98%
2017-12-27 22:20:51.054747: Iter: 28200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 937968.001429, avg_acc: 74.76%
2017-12-27 22:20:58.865646: Iter: 28400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 939352.897500, avg_acc: 74.68%
2017-12-27 22:21:06.595758: Iter: 28600 [2], loss: 6541868.500000, acc: 0.00%, avg_loss: 942431.765652, avg_acc: 74.74%
2017-12-27 22:21:14.387076: Iter: 28800 [2], loss: 0.000000, acc: 1.00%, avg_loss: 931942.272813, avg_acc: 74.90%
2017-12-27 22:21:23.049215: Iter: 29000 [2], loss: 5481271.000000, acc: 0.00%, avg_loss: 930582.477950, avg_acc: 74.84%
2017-12-27 22:21:30.743110: Iter: 29200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 928519.425337, avg_acc: 74.90%
2017-12-27 22:21:38.406405: Iter: 29400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 928982.392176, avg_acc: 74.76%
2017-12-27 22:21:46.133263: Iter: 29600 [2], loss: 0.000000, acc: 1.00%, avg_loss: 932794.158393, avg_acc: 74.79%
2017-12-27 22:21:53.872686: Iter: 29800 [2], loss: 4564953.000000, acc: 0.00%, avg_loss: 934096.162457, avg_acc: 74.64%
2017-12-27 22:22:01.599127: Iter: 30000 [2], loss: 0.000000, acc: 1.00%, avg_loss: 934490.158625, avg_acc: 74.62%
2017-12-27 22:22:09.316206: Iter: 30200 [2], loss: 0.000000, acc: 1.00%, avg_loss: 934013.770161, avg_acc: 74.58%
2017-12-27 22:22:17.012519: Iter: 30400 [2], loss: 0.000000, acc: 1.00%, avg_loss: 923615.449453, avg_acc: 74.72%
2017-12-27 22:22:24.901203: Iter: 30600 [2], loss: 152281.000000, acc: 0.00%, avg_loss: 915218.468030, avg_acc: 74.76%
2017-12-27 22:22:32.797246: Iter: 30800 [2], loss: 0.000000, acc: 1.00%, avg_loss: 921069.424779, avg_acc: 74.68%
